inst_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
ins_642302726,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690118,m_912,1,1,22,80,0.18,0.21
ins_1333195969,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690197,m_2933,1,1,21,79,0.18,0.21
ins_126427850,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690219,m_2477,1,1,20,70,0.18,0.21
ins_845149070,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690035,m_1506,1,1,28,82,0.18,0.21
ins_1007796587,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690063,m_1009,1,1,27,75,0.18,0.21
ins_926474519,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690216,m_311,1,1,18,79,0.18,0.21
ins_1163734060,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690176,m_2140,1,1,20,59,0.18,0.21
ins_1251835949,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690111,m_997,1,1,24,88,0.18,0.21
ins_1062708670,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690140,m_2196,1,1,24,89,0.18,0.21
ins_653304904,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690097,m_527,1,1,22,67,0.18,0.21
ins_824783221,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690238,m_3133,1,1,18,80,0.18,0.21
ins_398260936,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690081,m_2047,1,1,25,80,0.18,0.21
ins_316912395,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690065,m_3237,1,1,27,84,0.18,0.21
ins_642303066,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690110,m_2591,1,1,26,78,0.18,0.21
ins_398260846,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690083,m_1872,1,1,25,82,0.18,0.21
ins_1007805188,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689776,690049,m_3339,1,1,27,74,0.18,0.21
ins_316912157,task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,j_926983,8,Terminated,689777,690148,m_3625,1,1,24,82,0.18,0.21
